Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
LITTLE BEARS,DS,2009,Simulation,RTL,30000.0,,,,30000
LITTLE LEAGUE WORLD SERIES BASEBALL 2008,DS,2008,Sports,Activision,60000.0,,,,60000
LITTLE LEAGUE WORLD SERIES BASEBALL 2009,DS,2009,Sports,Activision,130000.0,,,10000.0,140000
LITTLE LEAGUE WORLD SERIES BASEBALL DOUBLE PLAY,DS,2010,Sports,Activision,80000.0,,,10000.0,80000
LITTLE RED RIDING HOODS ZOMBIE BBQ,DS,2008,Shooter,Destineer,30000.0,,,,40000
LITTLEST PET SHOP 3 BIGGEST STARS  BLUE  PINK  PURPLE TEAM,DS,2010,Simulation,Electronic Arts,500000.0,,,30000.0,530000
LITTLEST PET SHOP BEACH FRIENDS,DS,2009,Simulation,Electronic Arts,250000.0,,,20000.0,270000
LITTLEST PET SHOP CITY FRIENDS,DS,2009,Simulation,Electronic Arts,290000.0,,,20000.0,320000
LITTLEST PET SHOP COUNTRY FRIENDS,DS,2009,Simulation,Electronic Arts,230000.0,,,20000.0,250000
LITTLEST PET SHOP GARDEN,DS,2008,Simulation,Electronic Arts,310000.0,240000.0,,60000.0,610000
LITTLEST PET SHOP JUNGLE,DS,2008,Simulation,Electronic Arts,340000.0,200000.0,,60000.0,610000
LITTLEST PET SHOP SPRING,DS,2009,Simulation,Electronic Arts,120000.0,,,10000.0,140000
LITTLEST PET SHOP WINTER,DS,2008,Simulation,Electronic Arts,590000.0,310000.0,,100000.0,990000
LIVLY GARDEN,DS,2010,Simulation,Marvelous Interactive,,,20000.0,,20000
LOCKS QUEST,DS,2008,Strategy,THQ,80000.0,,,10000.0,90000
LODE RUNNER,DS,2006,Puzzle,Hudson Entertainment,,,20000.0,,20000
LOGIC MACHINES,DS,2009,Puzzle,City Interactive,40000.0,,,,40000
LOONEY TUNES CARTOON CONDUCTOR,DS,2008,Misc,Eidos Interactive,40000.0,,,,50000
LOONEY TUNES DUCK AMUCK,DS,2007,Action,Warner Bros. Interactive Entertainment,280000.0,,,20000.0,300000
LOST MAGIC,DS,2006,Role-Playing,Ubisoft,90000.0,,20000.0,10000.0,120000
LOST IN BLUE,DS,2005,Adventure,Konami Digital Entertainment,70000.0,20000.0,20000.0,10000.0,110000
LOST IN BLUE 2,DS,2007,Adventure,Konami Digital Entertainment,10000.0,10000.0,50000.0,,70000
LOST IN BLUE 3,DS,2007,Adventure,Konami Digital Entertainment,90000.0,20000.0,60000.0,10000.0,170000
LOVE PLUS,DS,2009,Simulation,Konami Digital Entertainment,,,260000.0,,260000
LOVE PLUS ,DS,2010,Simulation,Konami Digital Entertainment,,,230000.0,,230000
LOVELY LISA,DS,2007,Simulation,DHM Interactive,110000.0,,,10000.0,120000
LOVELY LISA AND FRIENDS,DS,2010,Simulation,Tomy Corporation,120000.0,,,10000.0,130000
LOVING LIFE WITH HELLO KITTY  FRIENDS,DS,2011,Misc,Rising Star Games,150000.0,80000.0,,20000.0,260000
LUFIA CURSE OF THE SINISTRALS,DS,2010,Role-Playing,Square Enix,120000.0,,30000.0,10000.0,160000
LUMINOUS ARC,DS,2007,Role-Playing,Rising Star Games,160000.0,,60000.0,10000.0,240000
LUMINOUS ARC 2,DS,2008,Role-Playing,Rising Star Games,210000.0,,,20000.0,230000
LUMINOUS ARC 3,DS,2009,Role-Playing,Marvelous Interactive,,,40000.0,,40000
LUNAR KNIGHTS,DS,2006,Role-Playing,Konami Digital Entertainment,170000.0,10000.0,40000.0,20000.0,240000
LUNAR DRAGON SONG,DS,2005,Role-Playing,Rising Star Games,110000.0,,,10000.0,120000
LUPIN SANSEI SHIJOU SAIDAI NO ZUNOUSEN,DS,2010,Adventure,Namco Bandai Games,,,70000.0,,70000
LUXPAIN,DS,2008,Adventure,Rising Star Games,40000.0,,,,50000
LUXPAIN JP SALES,DS,2008,Adventure,Rising Star Games,,,30000.0,,30000
LUXOR PHARAOHS CHALLENGE,DS,2007,Puzzle,Funsta,,10000.0,,,10000
MMS ADVENTURE,DS,2008,Adventure,Zoo Digital Publishing,40000.0,,,,50000
MMS KART RACING,DS,2008,Racing,Zoo Digital Publishing,110000.0,,,10000.0,120000
MLB 2K9 FANTASY ALLSTARS,DS,2009,Sports,Take-Two Interactive,80000.0,,,10000.0,90000
MLB POWER PROS 2008,DS,2008,Sports,Take-Two Interactive,50000.0,,,,60000
MX VS ATV REFLEX,DS,2009,Racing,THQ,130000.0,,,10000.0,140000
MX VS ATV UNTAMED,DS,2007,Racing,THQ,110000.0,,,10000.0,120000
MADAGASCAR,DS,2005,Platform,Activision,250000.0,40000.0,,30000.0,310000
MADAGASCAR ESCAPE 2 AFRICA,DS,2008,Action,Activision,420000.0,260000.0,,70000.0,750000
MADDEN NFL 06,DS,2005,Sports,Electronic Arts,110000.0,,,10000.0,120000
MADDEN NFL 07,DS,2006,Sports,Electronic Arts,200000.0,,,20000.0,220000
MADDEN NFL 08,DS,2007,Sports,Electronic Arts,240000.0,,,20000.0,270000
MADDEN NFL 09,DS,2008,Sports,Electronic Arts,300000.0,,,30000.0,330000
MADDEN NFL 2005,DS,2004,Sports,Electronic Arts,240000.0,,,20000.0,260000
MAGE KNIGHT DESTINYS SOLDIER,DS,2006,Strategy,Namco Bandai Games,20000.0,,,,20000
MAGIC ENCYCLOPEDIA MOONLIGHT,DS,2010,Misc,Foreign Media Games,,10000.0,,,20000
MAGICAL STARSIGN JP SALES,DS,2006,Role-Playing,Nintendo,,,40000.0,,40000
MAGICAL STARSIGN US SALES,DS,2006,Role-Playing,Nintendo,160000.0,30000.0,,,190000
MAGICAL ZHUZHU PRINCESS CARRIAGES  CASTLES,DS,2011,Simulation,Activision,140000.0,40000.0,,20000.0,200000
MAGICIANS QUEST MYSTERIOUS TIMES,DS,2008,Role-Playing,Konami Digital Entertainment,40000.0,10000.0,480000.0,,540000
MAGNETICA,DS,2006,Puzzle,Nintendo,80000.0,10000.0,30000.0,10000.0,140000
MAH JONG QUEST EXPEDITIONS,DS,2007,Puzzle,Avanquest,20000.0,260000.0,,10000.0,300000
MAHJONG 300,DS,2011,Puzzle,Avanquest,,30000.0,,,40000
MAHJONG FIGHT CLUB DS WIFI TAIOU,DS,2006,Misc,Konami Digital Entertainment,,,70000.0,,70000
MAHJONG TAIKAI,DS,2004,Misc,Tecmo Koei,,,40000.0,,40000
MAHJONG JOURNEY QUEST FOR TIKAL,DS,2008,Puzzle,Rondomedia,150000.0,30000.0,,10000.0,190000
MAHJONGG MYSTERIES ANCIENT EGYPT,DS,2010,Puzzle,Avanquest,70000.0,110000.0,,20000.0,200000
MAJI DE MANABU LEC DE UKARU  DS HISHOU BOKI 3KYUU,DS,2008,Misc,Square Enix,,,20000.0,,20000
MAJOR DREAM MAJOR DS DREAM BASEBALL,DS,2008,Sports,Takara Tomy,,,20000.0,,20000
MAJOR LEAGUE BASEBALL 2K10,DS,2010,Sports,Take-Two Interactive,140000.0,,,10000.0,150000
MAJOR LEAGUE BASEBALL 2K11,DS,2011,Sports,Take-Two Interactive,90000.0,,,10000.0,100000
MAJOR LEAGUE BASEBALL 2K12,DS,2012,Sports,Take-Two Interactive,80000.0,,,10000.0,80000
MAJOR LEAGUE BASEBALL 2K8 FANTASY ALLSTARS,DS,2008,Sports,Take-Two Interactive,110000.0,,,10000.0,120000
MAKE 10 A JOURNEY OF NUMBERS,DS,2007,Puzzle,Nintendo,,,70000.0,,70000
MAME GOMA 2 UCHI NO KO GA ICHIBAN,DS,2008,Simulation,Creative Core,,,60000.0,,60000
MAME GOMA HONOBO NO NIKKI,DS,2007,Simulation,TDK Core,,,30000.0,,30000
MAPLESTORY DS,DS,2010,Role-Playing,Nexon,,,30000.0,,30000
MAR HEAVEN KARUDEA NO AKUMA,DS,2006,Role-Playing,Konami Digital Entertainment,,,20000.0,,20000
MARCH OF THE PENGUINS,DS,2006,Adventure,Zoo Digital Publishing,40000.0,,,,50000
MARGOTS WORD BRAIN,DS,2008,Puzzle,Zoo Games,70000.0,,,10000.0,70000
MARIO  LUIGI BOWSERS INSIDE STORY,DS,2009,Role-Playing,Nintendo,2260000.0,480000.0,810000.0,270000.0,3830000
MARIO  LUIGI PARTNERS IN TIME,DS,2005,Role-Playing,Nintendo,770000.0,70000.0,430000.0,80000.0,1340000
MARIO  SONIC AT THE OLYMPIC GAMES,DS,2008,Sports,Sega,1640000.0,2480000.0,440000.0,580000.0,5140000
MARIO  SONIC AT THE OLYMPIC WINTER GAMES,DS,2009,Sports,Sega,1220000.0,1660000.0,270000.0,380000.0,3520000
MARIO HOOPS 3 ON 3,DS,2006,Sports,Nintendo,990000.0,40000.0,490000.0,100000.0,1620000
MARIO KART DS,DS,2005,Racing,Nintendo,9810000.0,7570000.0,4130000.0,1920000.0,23420000
MARIO PARTY DS,DS,2007,Misc,Nintendo,4460000.0,1880000.0,1980000.0,700000.0,9020000
MARIO VS DONKEY KONG 2 MARCH OF THE MINIS,DS,2006,Puzzle,Nintendo,740000.0,30000.0,360000.0,70000.0,1200000
MARIO VS DONKEY KONG MINILAND MAYHEM,DS,2010,Puzzle,Nintendo,1630000.0,520000.0,350000.0,180000.0,2690000
MARKER MAN ADVENTURES,DS,2009,Platform,Majesco Entertainment,20000.0,,,,30000
MARVEL NEMESIS RISE OF THE IMPERFECTS,DS,2005,Fighting,Electronic Arts,80000.0,,,10000.0,80000
MARVEL SUPER HERO SQUAD,DS,2009,Fighting,THQ,370000.0,20000.0,,30000.0,420000
MARVEL SUPER HERO SQUAD THE INFINITY GAUNTLET,DS,2010,Action,THQ,170000.0,30000.0,,20000.0,220000
MARVEL TRADING CARD GAME,DS,2007,Misc,Konami Digital Entertainment,110000.0,,,10000.0,120000
MARVEL ULTIMATE ALLIANCE 2,DS,2009,Role-Playing,Activision,160000.0,30000.0,,20000.0,200000
MARY KINGS RIDING SCHOOL,DS,2008,Simulation,Ghostlight,,20000.0,,,20000
MASTER JIN JINS IQ CHALLENGE,DS,2006,Misc,505 Games,130000.0,,,10000.0,140000
MASTER OF ILLUSION,DS,2006,Puzzle,Nintendo,160000.0,,260000.0,10000.0,440000
MASTER OF THE MONSTER LAIR,DS,2007,Role-Playing,Rising Star Games,100000.0,,,10000.0,110000
MATCH 3 MADNESS,DS,2010,Puzzle,Foreign Media Games,,50000.0,,10000.0,60000
MATH BLASTER IN THE PRIME ADVENTURE,DS,2009,Misc,Majesco Entertainment,90000.0,,,10000.0,100000
MATH PLAY,DS,2006,Puzzle,Ubisoft,280000.0,,,20000.0,310000
MAWASHITE TSUNAGERU TOUCH PANIC,DS,2006,Puzzle,Nintendo,,,50000.0,,50000
MAX  THE MAGIC MARKER,DS,2011,Platform,Unknown,,60000.0,,,60000
MAYS MYSTERY FORBIDDEN MEMORIES,DS,2011,Puzzle,Mastertronic,50000.0,40000.0,,10000.0,100000
MAZES OF FATE DS,DS,2008,Role-Playing,Graffiti,40000.0,,,,40000
MECCHA TAIKO NO TATSUJIN MASTER DS 7TSU NO SHIMA NO DAIBOUKEN,DS,2008,Misc,Namco Bandai Games,,,650000.0,,650000
MECHASSAULT PHANTOM WAR,DS,2006,Simulation,Majesco Entertainment,30000.0,,,,30000
MECHANIC MASTER,DS,2008,Puzzle,Midway Games,100000.0,,,10000.0,110000
MECHANIC MASTER 2,DS,2010,Puzzle,Crave Entertainment,20000.0,,,,20000
MEDAROT DS KABUTO  KUWAGATA VER,DS,2010,Role-Playing,Rocket Company,,,120000.0,,120000
MEGA BRAIN BOOST,DS,2008,Puzzle,Majesco Entertainment,10000.0,,,,10000
MEGA MAN BATTLE NETWORK 5 DOUBLE TEAM DS JP SALES,DS,2005,Role-Playing,Nintendo,,,110000.0,,110000
MEGA MAN BATTLE NETWORK 5 DOUBLE TEAM DS US SALES,DS,2005,Role-Playing,Nintendo,70000.0,,,,70000
MEGA MAN STAR FORCE 2 ZERKER X NINJA  SAURIAN,DS,2007,Action,Capcom,250000.0,,310000.0,20000.0,580000
MEGA MAN STAR FORCE 3 BLACK ACE  RED JOKER,DS,2008,Action,Capcom,220000.0,,220000.0,20000.0,470000
MEGA MAN STAR FORCE DRAGON  LEO  PEGASUS,DS,2006,Action,Capcom,390000.0,,530000.0,30000.0,960000
MEGA MAN ZX,DS,2006,Platform,Capcom,180000.0,,100000.0,20000.0,300000
MEGA MAN ZX ADVENT,DS,2007,Platform,Capcom,230000.0,,90000.0,20000.0,350000
MEGA MAN ZERO COLLECTION,DS,2010,Platform,Capcom,210000.0,20000.0,110000.0,20000.0,360000
MEGAMIND THE BLUE DEFENDER,DS,2010,Adventure,THQ,190000.0,50000.0,,20000.0,270000
MEITANTEI CONAN  KINDAICHI SHOUNEN NO JIKENBOU MEGURI AU FUTARI NO MEITANTEI,DS,2009,Adventure,Namco Bandai Games,,,80000.0,,80000
MEITANTEI CONAN AOKI HOUSEKI NO RINBUKYOKU,DS,2011,Adventure,Namco Bandai Games,,,60000.0,,60000
MEITANTEI CONAN KIETA HAKASE TO MACHIGAI SAGASHI NO TOU,DS,2008,Adventure,Namco Bandai Games,,,20000.0,,20000
MEITANTEI CONAN TANTEI RYOKU TRAINER,DS,2007,Misc,Namco Bandai Games,,,60000.0,,60000
MERV GRIFFINS CROSSWORDS,DS,2008,Puzzle,ValuSoft,30000.0,,,,30000
METAL FIGHT BEYBLADE,DS,2009,Action,Hudson Soft,,,90000.0,,90000
METAL FIGHT BEYBLADE BAKUGAMI SUSANOH SHUURAI,DS,2010,Action,Hudson Soft,,,50000.0,,50000
METAL FIGHT BEYBLADE CHOUJOU KESSEN BIG BANG BLADERS,DS,2010,Action,Hudson Soft,,,20000.0,,20000
METAL MAX 2 RELOADED,DS,2011,Role-Playing,Unknown,,,50000.0,,50000
METAL MAX 3,DS,2010,Role-Playing,Enterbrain,,,130000.0,,130000
METAL SAGA HAGANE NO KISETSU,DS,2006,Role-Playing,Success,,,30000.0,,30000
METAL SLUG 7,DS,2008,Shooter,Ignition Entertainment,130000.0,,10000.0,10000.0,150000
METEOS,DS,2005,Puzzle,Nintendo,150000.0,10000.0,60000.0,10000.0,230000
METEOS DISNEY MAGIC,DS,2007,Puzzle,Disney Interactive Studios,10000.0,20000.0,,,40000
METROID PRIME HUNTERS,DS,2006,Shooter,Nintendo,580000.0,40000.0,110000.0,60000.0,780000
METROID PRIME PINBALL,DS,2005,Misc,Nintendo,210000.0,,20000.0,20000.0,260000
MEZASE TSURI MASTER DS,DS,2009,Sports,Hudson Soft,,,10000.0,,10000
MIAMI LAW,DS,2009,Adventure,Konami Digital Entertainment,100000.0,,,10000.0,100000
MIAMI NIGHTS SINGLES IN THE CITY,DS,2008,Simulation,Ubisoft,80000.0,,,10000.0,80000
MICHAEL JACKSON THE EXPERIENCE,DS,2010,Misc,Ubisoft,220000.0,30000.0,,20000.0,260000
MIDNIGHT MYSTERIES THE EDGAR ALLAN POE CONSPIRACY,DS,2010,Adventure,Foreign Media Games,80000.0,40000.0,,10000.0,130000
MIDNIGHT PLAY PACK,DS,2008,Misc,Ubisoft,80000.0,,,10000.0,90000
MIGHT  MAGIC CLASH OF HEROES,DS,2009,Role-Playing,Ubisoft,160000.0,20000.0,,10000.0,190000
MILITARY HISTORY COMMANDER  EUROPE AT WAR,DS,2009,Strategy,Slitherine Software,,10000.0,,,10000
MIND QUIZ YOUR BRAIN COACH,DS,2006,Misc,Ubisoft,,,80000.0,,80000
MIND YOUR LANGUAGE LEARN ENGLISH  FRENCH  GERMAN  SPANISH JAPANESE,DS,2009,Misc,PlayV,,20000.0,,,20000
MIND OVER MATTER,DS,2010,Puzzle,505 Games,20000.0,,,,20000
MINI NINJAS,DS,2009,Action,Eidos Interactive,170000.0,150000.0,,40000.0,350000
MINNA DE JIBUN NO SETSUMEISHO BKATA AKATA ABKATA OKATA,DS,2008,Misc,GungHo,,,40000.0,,40000
MINNA NO CONVENI,DS,2010,Simulation,Taito,,,10000.0,,10000
MINNA NO DS SEMINAR KANPEKI EITANGO RYOKU,DS,2006,Misc,TDK Core,,,60000.0,,60000
MINNA NO DS SEMINAR KANPEKI KANJI RYOKU,DS,2006,Misc,TDK Core,,,160000.0,,160000
MINNA TO KIMI NO PIRAMEKINO,DS,2010,Misc,Namco Bandai Games,,,50000.0,,50000
MINUTE TO WIN IT,DS,2010,Misc,Zoo Games,110000.0,,,10000.0,120000
MISSION RUNWAY,DS,2008,Simulation,Eidos Interactive,70000.0,10000.0,,10000.0,80000
MISTER SLIME,DS,2008,Action,SouthPeak Games,50000.0,,,,50000
MITSUKETE KERORO GUNSOU MACHIGAI SAGASHI DAISAKUSEN DE ARIMASU,DS,2007,Action,Namco Bandai Games,,,60000.0,,60000
MOE STAR MOERU TOUDAI EIGOJUKU,DS,2008,Misc,Mirai Shounen,,,20000.0,,20000
MOERO NEKKETSU RHYTHM DAMASHII OSU TATAKAE OUENDAN 2,DS,2007,Misc,Nintendo,,,270000.0,,270000
MOMOTAROU DENTETSU 20SHUUNEN,DS,2008,Misc,Hudson Soft,,,320000.0,,320000
MOMOTAROU DENTETSU DS TOKYO  JAPAN,DS,2007,Misc,Hudson Soft,,,340000.0,,340000
MOMOTAROU DENTETSU WORLD,DS,2010,Misc,Hudson Soft,,,190000.0,,190000
MONKEY MADNESS ISLAND ESCAPE,DS,2010,Action,Storm City Games,10000.0,,,,10000
MONOPOLY,DS,2010,Misc,Electronic Arts,160000.0,100000.0,,30000.0,280000
MONSTER BAND,DS,2008,Misc,Tivola,40000.0,,,,50000
MONSTER BOMBER,DS,2006,Puzzle,505 Games,10000.0,,,,10000
MONSTER HIGH GHOUL SPIRIT,DS,2011,Misc,THQ,720000.0,170000.0,,70000.0,960000
MONSTER HOUSE,DS,2006,Adventure,THQ,140000.0,10000.0,,10000.0,160000
MONSTER JAM,DS,2007,Racing,Activision,130000.0,,,10000.0,140000
MONSTER JAM PATH OF DESTRUCTION,DS,2010,Racing,Activision,350000.0,,,20000.0,380000
MONSTER JAM URBAN ASSAULT,DS,2008,Racing,Activision,370000.0,,,30000.0,390000
MONSTER LAB,DS,2008,Role-Playing,Eidos Interactive,120000.0,10000.0,,10000.0,140000
MONSTER MAYHEM BUILD AND BATTLE,DS,2009,Simulation,Zushi Games,20000.0,,,,20000
MONSTER RACERS,DS,2009,Racing,Tecmo Koei,50000.0,,20000.0,,70000
MONSTER RANCHER DS,DS,2008,Role-Playing,Tecmo Koei,80000.0,,50000.0,10000.0,130000
MONSTER TALE,DS,2011,Platform,Majesco Entertainment,60000.0,,,,70000
MONSTER TRUCKS DS,DS,2005,Racing,Majesco Entertainment,70000.0,,,10000.0,80000
MONSTERS VS ALIENS,DS,2009,Action,Activision,330000.0,130000.0,,50000.0,510000
MONTESSORI MUSIC,DS,2008,Misc,Oxygen Interactive,10000.0,20000.0,,,30000
MOON,DS,2009,Adventure,Mastiff,40000.0,,,,50000
MOSHI MONSTERS KATSUMA UNLEASHED,DS,2013,Action,Activision,,130000.0,,20000.0,150000
MOSHI MONSTERS MOSHLING ZOO,DS,2011,Misc,Activision,400000.0,990000.0,,220000.0,1600000
MOSHI MONSTERS MOSHLINGS THEME PARK,DS,2012,Misc,Activision,30000.0,370000.0,,50000.0,450000
MOTO RACER DS,DS,2008,Racing,Nobilis,,20000.0,,,30000
MOTTO HAYAKU SEIKAKU NI SUU SENSE KEISAN RYUOKU UP TRAINING  SUUTORE,DS,2008,Misc,Benesse,,,20000.0,,20000
MOTTO TOEIC TEST DS TRAINING,DS,2008,Misc,IE Institute,,,40000.0,,40000
MOTTO STITCH DS RHYTHM DE RAKUGAKI DAISAKUSEN,DS,2010,Misc,Disney Interactive Studios,,,80000.0,,80000
MOXIE GIRLZ,DS,2011,Misc,GameMill Entertainment,70000.0,,,,70000
MOYASHIMON DS,DS,2009,Action,Takara Tomy,,,30000.0,,30000
MR DRILLER DRILL SPIRITS,DS,2004,Puzzle,Nintendo,80000.0,,50000.0,10000.0,140000
MUGEN NO FRONTIER SUPER ROBOT TAISEN OG SAGA EXCEED,DS,2010,Role-Playing,Namco Bandai Games,,,120000.0,,120000
MURDER IN VENICE,DS,2011,Adventure,City Interactive,60000.0,30000.0,,10000.0,100000
MUSHISHI AMEFURU SATO,DS,2008,Simulation,Marvelous Interactive,,,20000.0,,20000
MUSHROOM MEN RISE OF THE FUNGI,DS,2008,Action,SouthPeak Games,100000.0,,,10000.0,110000
MY AMUSEMENT PARK,DS,2010,Misc,Scholastic Inc.,60000.0,,,,70000
MY BABY 3  FRIENDS,DS,2010,Simulation,Majesco Entertainment,130000.0,20000.0,,10000.0,160000
MY BABY BOY,DS,2008,Simulation,Nobilis,300000.0,20000.0,,30000.0,340000
MY BABY GIRL,DS,2008,Simulation,Nobilis,610000.0,100000.0,,60000.0,770000
MY BABY FIRST STEPS,DS,2009,Simulation,SouthPeak Games,280000.0,30000.0,,20000.0,330000
MY BALLET STUDIO,DS,2009,Simulation,505 Games,10000.0,,,,20000
MY BOYFRIEND,DS,2008,Simulation,DTP Entertainment,100000.0,,,10000.0,110000
MY CHINESE COACH,DS,2008,Misc,Ubisoft,110000.0,10000.0,,10000.0,120000
MY DOITALL,DS,2009,Misc,Tomy Corporation,20000.0,,,,30000
MY DRESSUP,DS,2008,Misc,Oxygen Interactive,60000.0,10000.0,,10000.0,70000
MY ENGLISH COACH PARA HISPANOPARLANTES,DS,2009,Misc,Ubisoft,80000.0,,,10000.0,80000
MY FARM AROUND THE WORLD,DS,2008,Simulation,Atari,110000.0,,,10000.0,120000
MY FASHION STUDIO,DS,2007,Misc,Ubisoft,410000.0,10000.0,,30000.0,450000
MY FIRST DOLLHOUSE,DS,2010,Misc,505 Games,100000.0,,,10000.0,100000
MY FRENCH COACH,DS,2007,Misc,Ubisoft,150000.0,20000.0,,10000.0,180000
MY FRIENDS,DS,2009,Misc,Oxygen Interactive,70000.0,,,10000.0,80000
MY FROGGER TOY TRIALS,DS,2006,Action,Konami Digital Entertainment,20000.0,,,,30000
MY FUN FACTS COACH,DS,2008,Misc,Ubisoft,70000.0,,,10000.0,80000
MY HERO DOCTOR,DS,2009,Action,Majesco Entertainment,20000.0,,,,20000
MY HORSE  ME,DS,2007,Sports,Atari,330000.0,,,30000.0,360000
MY HORSE  ME RIDING FOR GOLD,DS,2008,Sports,Atari,50000.0,10000.0,,10000.0,70000
MY JAPANESE COACH,DS,2008,Misc,Ubisoft,250000.0,,,20000.0,280000
MY LITTLE BABY,DS,2008,Simulation,CDV Software Entertainment,,10000.0,,,10000
MY LITTLE PONY PINKIE PIES PARTY,DS,2008,Adventure,THQ,720000.0,,,60000.0,780000
MY MAKEUP,DS,2008,Misc,Oxygen Interactive,80000.0,,,10000.0,90000
MY PET CHIMP,DS,2010,Simulation,505 Games,60000.0,,,,60000
MY PET SHOP,DS,2008,Simulation,Square Enix,60000.0,,,,60000
MY PET SHOP JP SALES,DS,2008,Simulation,Square Enix,,,30000.0,,30000
MY SAT COACH WITH THE PRINCETON REVIEW,DS,2008,Misc,Ubisoft,100000.0,,,10000.0,110000
MY SECRET WORLD BY IMAGINE,DS,2008,Misc,Ubisoft,,200000.0,,,200000
MY SPANISH COACH,DS,2007,Misc,Ubisoft,400000.0,10000.0,,30000.0,440000
MY STOP SMOKING COACH ALLEN CARRS EASYWAY,DS,2008,Misc,Ubisoft,70000.0,10000.0,,10000.0,90000
MY VIRTUAL TUTOR READING ADVENTURE FIRST TO SECOND GRADE,DS,2009,Misc,Mentor Interactive,380000.0,,,30000.0,410000
MY VIRTUAL TUTOR READING ADVENTURE KINDERGARTEN TO FIRST,DS,2009,Misc,Mentor Interactive,250000.0,,,20000.0,270000
MY VIRTUAL TUTOR READING ADVENTURE PREK TO KINDERGARTEN,DS,2009,Misc,Mentor Interactive,290000.0,,,20000.0,310000
MY WEIGHT LOSS COACH,DS,2008,Sports,Ubisoft,300000.0,540000.0,,110000.0,960000
MY WORD COACH,DS,2007,Misc,Ubisoft,370000.0,900000.0,,180000.0,1450000
MY WORLD MY WAY US SALES,DS,2008,Role-Playing,Global A Entertainment,40000.0,,,,40000
MYSIMS,DS,2007,Simulation,Electronic Arts,1590000.0,1610000.0,80000.0,410000.0,3690000
MYSIMS AGENTS,DS,2009,Adventure,Electronic Arts,550000.0,430000.0,,110000.0,1080000
MYSIMS KINGDOM,DS,2008,Simulation,Electronic Arts,810000.0,600000.0,10000.0,170000.0,1580000
MYSIMS PARTY,DS,2009,Simulation,Electronic Arts,150000.0,120000.0,,30000.0,300000
MYSIMS RACING,DS,2009,Racing,Electronic Arts,260000.0,290000.0,,70000.0,630000
MYSIMS SKYHEROES,DS,2010,Action,Electronic Arts,220000.0,80000.0,,30000.0,330000
MYST,DS,2007,Adventure,Midway Games,90000.0,,,10000.0,100000
MYSTERY CASE FILES MILLIONHEIR,DS,2008,Adventure,Nintendo,760000.0,400000.0,,120000.0,1290000
MYSTERY DUNGEON SHIREN THE WANDERER,DS,2006,Role-Playing,Sega,180000.0,,330000.0,20000.0,530000
MYSTERY PI  PORTRAIT OF A THIEF,DS,2008,Adventure,Unknown,110000.0,,,10000.0,110000
MYSTERY STORIES CURSE OF THE ANCIENT SPIRITS,DS,2011,Adventure,GSP,50000.0,40000.0,,10000.0,100000
MYSTERY TALES 2 THE SPIRIT MASK,DS,2011,Puzzle,Unknown,,20000.0,,,20000
MYSTERY TALES OF TIME TRAVEL,DS,2010,Puzzle,Foreign Media Games,10000.0,160000.0,,20000.0,190000
N,DS,2007,Platform,Atari,60000.0,,,,70000
NANA LIVE STAFF DAIBOSHUU SHOSHINSHA KANGEI,DS,2007,Action,Konami Digital Entertainment,,,20000.0,,20000
NEVES,DS,2007,Puzzle,Ignition Entertainment,10000.0,,,,20000
NACHO LIBRE,DS,2006,Action,Majesco Entertainment,30000.0,,,,30000
NAKAYOSHI ALLSTARS MEZASE GAKUEN IDOL,DS,2008,Misc,Creative Core,,,10000.0,,10000
NAMCO MUSEUM DS,DS,2007,Misc,Atari,1180000.0,10000.0,60000.0,90000.0,1350000
NANASHI NO GAME,DS,2008,Adventure,Square Enix,,,80000.0,,80000
NANASHI NO GAME ME,DS,2009,Action,Square Enix,,,30000.0,,30000
NANCY DREW THE HIDDEN STAIRCASE,DS,2008,Adventure,THQ,160000.0,,,10000.0,180000
NANCY DREW THE MODEL MYSTERIES,DS,2010,Puzzle,THQ,90000.0,,,10000.0,100000
NANCY DREW THE MYSTERY OF THE CLUE BENDER SOCIETY,DS,2008,Adventure,Codemasters,240000.0,,,20000.0,260000
NANDAS ISLAND,DS,2009,Puzzle,Phenomedia,40000.0,,,,50000
NANOSTRAY,DS,2005,Shooter,Majesco Entertainment,50000.0,,,,60000
NANOSTRAY 2,DS,2008,Shooter,Codemasters,30000.0,10000.0,,,50000
NAPOLEON DYNAMITE THE GAME,DS,2007,Puzzle,Crave Entertainment,20000.0,,,,30000
NARUTO RPG 2 CHIDORI VS RASENGAN,DS,2005,Role-Playing,Tomy Corporation,,,140000.0,,140000
NARUTO RPG 3 REJIUU VS KONOHA SHOUTAI,DS,2006,Role-Playing,Takara Tomy,,,90000.0,,90000
NARUTO SHIPPUDEN DAIRANSEN KAGE BUNSHIN EMAKI,DS,2008,Action,Takara Tomy,,,40000.0,,40000
NARUTO SHIPPUDEN NARUTO VS SASUKE,DS,2008,Action,Takara Tomy,80000.0,,30000.0,10000.0,110000
NARUTO SHIPPUDEN NINJA COUNCIL 4,DS,2007,Action,Nintendo,90000.0,,130000.0,10000.0,230000
NARUTO SHIPPUDEN NINJA DESTINY 2,DS,2008,Fighting,Takara Tomy,190000.0,30000.0,130000.0,20000.0,370000
NARUTO SHIPPUDEN NINJA DESTINY 3,DS,2006,Fighting,D3Publisher,,10000.0,130000.0,,140000
