,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
600,Agile Warrior F-111X,PS,1995,Simulation,Virgin Interactive,"$80,000","$50,000",$0,"$10,000","$140,000"
601,Air Combat,PS,1995,Simulation,Sony Computer Entertainment,"$920,000","$330,000","$520,000","$50,000","$1,830,000"
602,Akuji the Heartless,PS,1998,Platform,Eidos Interactive,"$70,000","$40,000",$0,"$10,000","$120,000"
603,Alexi Lalas International Soccer,PS,1998,Sports,Take-Two Interactive,"$40,000","$30,000",$0,$0,"$70,000"
604,Alien Resurrection,PS,2000,Shooter,Fox Interactive,"$90,000","$60,000",$0,"$10,000","$160,000"
605,Alien Trilogy,PS,1996,Shooter,Acclaim Entertainment,"$240,000","$160,000","$40,000","$30,000","$470,000"
606,Allied General,PS,1996,Strategy,SSI,"$110,000","$70,000",$0,"$10,000","$190,000"
607,Alone in the Dark: One-Eyed Jack's Revenge,PS,1996,Adventure,Infogrames,"$170,000","$120,000",$0,"$20,000","$310,000"
609,Alundra,PS,1997,Role-Playing,Psygnosis,"$130,000","$90,000",$0,"$10,000","$230,000"
610,Alundra 2: A New Legend Begins,PS,1999,Role-Playing,Activision,"$150,000","$100,000",$0,"$20,000","$270,000"
611,Andretti Racing,PS,1996,Racing,Electronic Arts,"$430,000","$290,000",$0,"$50,000","$770,000"
612,Angel Blade: Neo Tokyo Guardians,PS,1997,Role-Playing,On Demand,"$120,000","$80,000",$0,"$10,000","$210,000"
613,Angelique Duet,PS,1998,Strategy,Tecmo Koei,$0,$0,"$40,000",$0,"$40,000"
614,Animaniacs Ten Pin Alley,PS,1998,Sports,ASC Games,"$360,000","$250,000",$0,"$40,000","$660,000"
615,Animorphs: Shattered Reality,PS,2000,Action,Infogrames,"$30,000","$20,000",$0,$0,"$60,000"
616,Ape Escape,PS,1999,Platform,Sony Computer Entertainment,"$710,000","$480,000","$320,000","$110,000","$1,630,000"
617,Apocalypse,PS,1998,Action,Activision,"$250,000","$170,000",$0,"$30,000","$450,000"
618,Aquanaut's Holiday,PS,1995,Adventure,Sony Computer Entertainment,"$10,000","$10,000",$0,$0,"$20,000"
619,Arc the Lad,PS,1995,Role-Playing,Sony Computer Entertainment,$0,$0,"$1,100,000","$10,000","$1,110,000"
620,Arc the Lad II,PS,1996,Role-Playing,Sony Computer Entertainment,$0,$0,"$920,000","$130,000","$1,050,000"
621,Arc the Lad III,PS,1999,Role-Playing,Sony Computer Entertainment,$0,$0,"$390,000","$30,000","$420,000"
622,Arcade Hits: Frisky Tom,PS,2002,Action,Hamster Corporation,"$160,000","$110,000",$0,"$20,000","$280,000"
623,Arcade Party Pak,PS,1999,Misc,Midway Games,"$60,000","$40,000",$0,"$10,000","$110,000"
624,Area 51,PS,1996,Shooter,GT Interactive,"$400,000","$270,000",$0,"$50,000","$720,000"
625,Armored Core,PS,1997,Simulation,Sony Computer Entertainment,"$130,000","$90,000","$160,000","$30,000","$410,000"
626,Armored Core: Master of Arena,PS,1999,Simulation,From Software,"$70,000","$50,000","$130,000","$20,000","$260,000"
627,Armored Core: Project Phantasma,PS,1997,Simulation,From Software,"$60,000","$40,000","$150,000","$20,000","$280,000"
628,Armorines: Project S.W.A.R.M.,PS,2000,Shooter,Acclaim Entertainment,"$50,000","$30,000",$0,"$10,000","$80,000"
629,Army Men 3D,PS,1999,Action,3DO,"$1,100,000","$140,000",$0,"$40,000","$1,280,000"
630,Army Men World War: Final Front,PS,2001,Action,3DO,"$240,000","$170,000",$0,"$30,000","$440,000"
631,"Army Men World War: Land, Sea, Air",PS,2000,Action,3DO,"$170,000","$120,000",$0,"$20,000","$300,000"
632,Army Men World War: Team Assault,PS,2001,Action,3DO,"$60,000","$40,000",$0,"$10,000","$100,000"
633,Army Men: Air Attack,PS,1999,Action,3DO,"$470,000","$320,000",$0,"$60,000","$850,000"
634,Army Men: Air Attack 2,PS,2000,Action,3DO,"$170,000","$110,000",$0,"$20,000","$300,000"
635,Army Men: Green Rogue,PS,2001,Action,3DO,"$40,000","$20,000",$0,$0,"$70,000"
636,Army Men: Sarge's Heroes,PS,1999,Action,3DO,"$310,000","$210,000",$0,"$40,000","$560,000"
637,Army Men: Sarge's Heroes 2,PS,2000,Shooter,3DO,"$140,000","$90,000",$0,"$20,000","$240,000"
638,Arthur! Ready to Race,PS,2000,Racing,The Learning Company,"$30,000","$20,000",$0,$0,"$50,000"
639,Assault Rigs,PS,1996,Action,Electronic Arts Victor,"$20,000","$20,000",$0,$0,"$40,000"
640,Assault: Retribution,PS,1998,Action,Telstar,"$70,000","$50,000",$0,"$10,000","$130,000"
641,Asteroids,PS,1998,Shooter,Success,"$640,000","$430,000",$0,"$70,000","$1,150,000"
642,Atari Anniversary Edition Redux,PS,2000,Misc,Infogrames,"$100,000","$70,000",$0,"$10,000","$180,000"
643,Auto Destruct,PS,1998,Action,Electronic Arts,"$40,000","$30,000",$0,"$10,000","$80,000"
644,Azure Dreams,PS,1997,Role-Playing,Konami Digital Entertainment,"$70,000","$50,000",$0,"$10,000","$130,000"
646,BRAHMA Force: The Assault on Beltlogger 9,PS,1996,Shooter,JVC,"$20,000","$10,000",$0,$0,"$30,000"
647,Backstreet Billiards,PS,1998,Misc,ASCII Entertainment,"$190,000","$130,000",$0,"$20,000","$340,000"
648,Backyard Soccer,PS,2001,Sports,Infogrames,"$70,000","$50,000",$0,"$10,000","$130,000"
649,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Racing,Human Entertainment,$0,$0,"$360,000","$30,000","$380,000"
650,Bakusou Kyoudai Let's & Go!! Eternal Wings,PS,1998,Racing,Jaleco,$0,$0,"$50,000",$0,"$50,000"
651,Ball Breakers,PS,2000,Action,Take-Two Interactive,"$100,000","$70,000",$0,"$10,000","$180,000"
652,Ballblazer Champions,PS,1997,Sports,CTO SpA,"$10,000","$10,000",$0,$0,"$20,000"
653,Ballistic,PS,1999,Puzzle,Atari,"$20,000","$10,000",$0,$0,"$40,000"
654,Barbie Explorer,PS,2001,Platform,Unknown,"$80,000","$50,000",$0,"$10,000","$140,000"
655,Barbie Super Sports,PS,1999,Sports,Mattel Interactive,"$120,000","$80,000",$0,"$10,000","$220,000"
656,Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,"$330,000","$220,000",$0,"$40,000","$590,000"
657,Bases Loaded '96: Double Header,PS,1995,Sports,Jaleco,"$280,000","$190,000",$0,"$30,000","$500,000"
658,Bass Landing,PS,1999,Sports,ASCII Entertainment,"$210,000","$140,000","$230,000","$40,000","$620,000"
659,Bass Rise,PS,1999,Sports,Namco Bandai Games,"$30,000","$20,000",$0,$0,"$50,000"
660,Bastard!! Utsuro Naru Kamigami no Utsuwa,PS,1996,Role-Playing,Seta Corporation,$0,$0,"$200,000","$10,000","$210,000"
661,Batman & Robin,PS,1998,Action,Acclaim Entertainment,"$60,000","$40,000",$0,"$10,000","$110,000"
662,Batman Beyond: Return of the Joker,PS,2000,Action,Ubisoft,"$90,000","$60,000",$0,"$10,000","$170,000"
663,Batman Forever: The Arcade Game,PS,1996,Action,Acclaim Entertainment,"$20,000","$10,000",$0,$0,"$30,000"
664,Batman: Gotham City Racer,PS,2001,Racing,Ubisoft,"$30,000","$20,000",$0,$0,"$50,000"
665,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,"$390,000","$260,000","$530,000","$80,000","$1,270,000"
666,Battle Arena Toshinden 2,PS,1995,Fighting,Sony Computer Entertainment,"$150,000","$100,000","$410,000","$50,000","$710,000"
667,Battle Arena Toshinden 3,PS,1996,Fighting,Sony Computer Entertainment,"$60,000","$40,000","$140,000","$20,000","$270,000"
668,Battle Hunter,PS,1999,Strategy,Midas Interactive Entertainment,"$20,000","$10,000",$0,$0,"$40,000"
669,Battle Stations,PS,1997,Strategy,Electronic Arts,"$430,000","$290,000",$0,"$50,000","$780,000"
670,BeatMania,PS,1998,Simulation,Konami Digital Entertainment,$0,$0,"$1,070,000","$20,000","$1,090,000"
671,BeatMania Append 3rdMix,PS,1998,Simulation,Konami Digital Entertainment,$0,$0,"$560,000","$40,000","$600,000"
672,BeatMania Append 4thMix: The beat goes on,PS,1999,Simulation,Konami Digital Entertainment,$0,$0,"$270,000","$20,000","$290,000"
673,BeatMania Append GottaMix,PS,1999,Simulation,Konami Digital Entertainment,$0,$0,"$310,000","$20,000","$330,000"
674,Beyond The Beyond,PS,1995,Role-Playing,Sony Computer Entertainment,"$110,000","$80,000","$350,000","$40,000","$570,000"
675,Big Air,PS,1999,Sports,Accolade,"$100,000","$70,000",$0,"$10,000","$190,000"
676,Big Bass Fishing,PS,2002,Action,Take-Two Interactive,$0,$0,"$20,000",$0,"$20,000"
677,Big Bass World Championship,PS,1997,Sports,Starfish,"$200,000","$140,000",$0,"$20,000","$360,000"
678,Big Strike Bowling,PS,2003,Sports,Gotham Games,"$230,000","$160,000",$0,"$30,000","$420,000"
679,Bio FREAKS,PS,1998,Action,GT Interactive,"$70,000","$50,000",$0,"$10,000","$130,000"
680,Black Bass with Blue Marlin,PS,1999,Sports,Starfish,"$60,000","$40,000",$0,"$10,000","$110,000"
681,Black Dawn,PS,1996,Simulation,Virgin Interactive,"$70,000","$50,000",$0,"$10,000","$130,000"
682,Black Jack vs. Matsudajun,PS,2000,Misc,Pony Canyon,"$30,000","$20,000",$0,$0,"$50,000"
683,Blades of Blood: Samurai Shodown III,PS,1995,Fighting,Sony Computer Entertainment,"$50,000","$30,000",$0,"$10,000","$80,000"
684,Blast Chamber,PS,1996,Shooter,Activision,"$50,000","$40,000",$0,"$10,000","$100,000"
685,Blast Lacrosse,PS,2001,Sports,Acclaim Entertainment,"$30,000","$20,000",$0,$0,"$60,000"
686,Blast Radius,PS,1998,Action,Psygnosis,"$40,000","$30,000",$0,$0,"$70,000"
687,Blaster Master: Blasting Again,PS,2000,Shooter,Sunsoft,"$140,000","$100,000",$0,"$20,000","$250,000"
688,Blasto,PS,1998,Action,Sony Computer Entertainment,"$200,000","$130,000",$0,"$20,000","$350,000"
689,Blazing Dragons,PS,1996,Adventure,Crystal Dynamics,"$80,000","$60,000",$0,"$10,000","$150,000"
690,Blood Omen: Legacy of Kain,PS,1996,Role-Playing,Crystal Dynamics,"$250,000","$170,000",$0,"$30,000","$440,000"
691,Bloody Roar,PS,1997,Fighting,Virgin Interactive,"$220,000","$150,000",$0,"$30,000","$390,000"
692,Bloody Roar II,PS,1999,Fighting,Virgin Interactive,"$250,000","$170,000",$0,"$30,000","$460,000"
693,Blue's Clues: Blue's Big Musical,PS,2001,Misc,THQ,"$280,000","$190,000",$0,"$30,000","$500,000"
694,Board Game: Top Shop,PS,1999,Misc,Success,"$10,000","$10,000",$0,$0,"$20,000"
695,Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,"$310,000","$210,000",$0,"$40,000","$570,000"
696,Bogey: Dead 6,PS,1996,Simulation,Sony Computer Entertainment,"$50,000","$40,000",$0,"$10,000","$90,000"
697,Boku no Natsuyasumi,PS,2000,Adventure,Sony Computer Entertainment,$0,$0,"$370,000","$30,000","$400,000"
698,Bomberman Fantasy Race,PS,1998,Racing,Virgin Interactive,"$10,000","$10,000",$0,$0,"$20,000"
699,Bomberman Land,PS,2000,Misc,Hudson Soft,$0,$0,"$150,000","$10,000","$160,000"
700,Bomberman Party Edition,PS,1998,Puzzle,Virgin Interactive,"$70,000","$50,000",$0,"$10,000","$120,000"
701,Bomberman World,PS,1998,Puzzle,Sony Computer Entertainment,"$60,000","$40,000","$220,000","$20,000","$330,000"
702,BoomBots,PS,1999,Fighting,SouthPeak Games,"$60,000","$40,000",$0,"$10,000","$110,000"
703,Bottom of the 9th,PS,1996,Sports,Konami Digital Entertainment,"$80,000","$50,000",$0,"$10,000","$140,000"
704,Bottom of the 9th '97,PS,1997,Sports,Konami Digital Entertainment,"$10,000","$10,000",$0,$0,"$20,000"
705,Bottom of the 9th '99,PS,1998,Sports,Konami Digital Entertainment,"$30,000","$20,000",$0,$0,"$50,000"
706,Boxer's Road,PS,1995,Fighting,New,$0,$0,"$330,000","$20,000","$360,000"
707,Boxing,PS,2000,Fighting,Midas Interactive Entertainment,"$40,000","$30,000",$0,$0,"$70,000"
708,Brain Dead 13,PS,1996,Adventure,Coconuts Japan,"$10,000","$10,000",$0,$0,"$20,000"
709,Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,"$250,000","$170,000","$650,000","$70,000","$1,140,000"
710,Bravo Air Race,PS,1997,Racing,THQ,"$80,000","$50,000",$0,"$10,000","$140,000"
711,Breakout,PS,1999,Puzzle,Hasbro Interactive,"$60,000","$40,000",$0,"$10,000","$110,000"
712,Breath of Fire III,PS,1997,Role-Playing,Capcom,"$290,000","$190,000","$460,000","$70,000","$1,000,000"
713,Breath of Fire IV,PS,2000,Role-Playing,Capcom,"$110,000","$80,000","$340,000","$40,000","$560,000"
714,Breeding Stud 2,PS,1998,Sports,Konami Digital Entertainment,$0,$0,"$40,000",$0,"$40,000"
715,Brian Lara Cricket,PS,1998,Sports,Codemasters,"$20,000","$1,130,000","$10,000","$100,000","$1,260,000"
716,Brigandine: The Legend of Forsena,PS,1998,Strategy,Atlus,"$50,000","$30,000",$0,"$10,000","$90,000"
717,Broken Helix,PS,1997,Action,Konami Digital Entertainment,"$30,000","$20,000",$0,$0,"$60,000"
718,Broken Sword II: The Smoking Mirror,PS,1997,Adventure,Sony Computer Entertainment,"$30,000","$20,000",$0,$0,"$60,000"
719,Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ,"$100,000","$70,000",$0,"$10,000","$180,000"
720,Brunswick Circuit Pro Bowling 2,PS,2000,Sports,THQ,"$60,000","$40,000",$0,"$10,000","$110,000"
721,Bubble Bobble also featuring Rainbow Islands,PS,1995,Puzzle,Acclaim Entertainment,"$40,000","$20,000",$0,$0,"$60,000"
722,Bubsy 3D,PS,1996,Platform,Accolade,"$100,000","$70,000",$0,"$10,000","$190,000"
723,Bugriders: The Race of Kings,PS,1997,Racing,GT Interactive,"$10,000","$10,000",$0,$0,"$20,000"
724,Bugs Bunny & Taz: Time Busters,PS,2000,Adventure,Infogrames,"$110,000","$80,000",$0,"$10,000","$210,000"
725,Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames,"$220,000","$150,000",$0,"$30,000","$400,000"
726,Builder's Block,PS,1999,Strategy,EON Digital Entertainment,"$10,000",$0,$0,$0,"$10,000"
727,Burning Road,PS,1996,Racing,FunSoft,"$70,000","$50,000",$0,"$10,000","$120,000"
728,Burstrick: Wake Boarding!!,PS,2000,Sports,Natsume,"$150,000","$100,000",$0,"$20,000","$270,000"
729,Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,"$390,000","$270,000","$430,000","$80,000","$1,160,000"
730,Bushido Blade 2,PS,1998,Fighting,SquareSoft,"$250,000","$170,000","$220,000","$40,000","$680,000"
731,Bust A Groove,PS,1998,Misc,Sony Computer Entertainment,"$90,000","$60,000","$350,000","$40,000","$540,000"
732,Bust A Groove 2,PS,1999,Misc,Enix Corporation,"$40,000","$30,000","$180,000","$20,000","$260,000"
733,Bust-A-Move '99,PS,1997,Puzzle,Acclaim Entertainment,"$180,000","$120,000",$0,"$20,000","$320,000"
734,Bust-A-Move 2 Arcade Edition,PS,1995,Puzzle,Acclaim Entertainment,"$110,000","$70,000",$0,"$10,000","$200,000"
735,Bust-A-Move 4,PS,1998,Puzzle,Acclaim Entertainment,"$120,000","$80,000",$0,"$10,000","$220,000"
736,Buster Bros. Collection,PS,1997,Puzzle,Capcom,"$40,000","$30,000",$0,$0,"$70,000"
737,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,"$350,000","$240,000",$0,"$40,000","$630,000"
738,C: The Contra Adventure,PS,1998,Shooter,Konami Digital Entertainment,"$40,000","$20,000",$0,$0,"$70,000"
739,Cabela's Big Game Hunter: Ultimate Challenge,PS,2001,Sports,Activision Value,"$120,000","$80,000",$0,"$10,000","$210,000"
740,Caesars Palace 2000: Millennium Gold Edition,PS,2000,Misc,Interplay,"$430,000","$290,000",$0,"$50,000","$770,000"
741,Caesars Palace II,PS,1998,Misc,Interplay,"$140,000","$90,000",$0,"$20,000","$250,000"
742,Captain Tsubasa: Aratanaru Densetsu Joshou,PS,2002,Sports,Konami Digital Entertainment,$0,$0,"$80,000","$10,000","$90,000"
743,Card Games,PS,2000,Misc,D3Publisher,"$40,000","$30,000",$0,$0,"$70,000"
744,Cardinal Syn,PS,1998,Fighting,Sony Computer Entertainment,"$80,000","$60,000",$0,"$10,000","$150,000"
745,Carnage Heart,PS,1995,Strategy,Sony Computer Entertainment,"$10,000","$10,000","$90,000","$10,000","$110,000"
746,Cart World Series,PS,1997,Racing,Sony Computer Entertainment,"$170,000","$110,000",$0,"$20,000","$300,000"
747,Casper,PS,1996,Adventure,Interplay,"$460,000","$310,000",$0,"$50,000","$830,000"
748,Casper: Friends Around the World,PS,2000,Action,TDK Core,"$100,000","$70,000",$0,"$10,000","$180,000"
749,Castlevania Chronicles,PS,2001,Platform,Konami Digital Entertainment,"$70,000","$50,000",$0,"$10,000","$130,000"
750,Castlevania: Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,"$580,000","$400,000","$210,000","$80,000","$1,270,000"
751,Castrol Honda Superbike Racing,PS,1998,Racing,THQ,"$70,000","$50,000",$0,"$10,000","$130,000"
752,Centipede,PS,1998,Shooter,Atari,"$360,000","$250,000",$0,"$40,000","$650,000"
753,Championship Bass,PS,1999,Sports,Electronic Arts,"$180,000","$120,000",$0,"$20,000","$320,000"
754,Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,"$80,000","$50,000",$0,"$10,000","$140,000"
755,Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,"$320,000","$220,000",$0,"$40,000","$580,000"
756,Championship Surfer,PS,2000,Sports,Mattel Interactive,"$30,000","$20,000",$0,$0,"$60,000"
757,Chess,PS,2001,Strategy,Success,"$50,000","$40,000",$0,"$10,000","$90,000"
758,Chessmaster II,PS,1998,Strategy,Mindscape,"$80,000","$60,000",$0,"$10,000","$150,000"
759,Chicken Run,PS,2000,Adventure,Eidos Interactive,"$70,000","$50,000",$0,"$10,000","$130,000"
760,Chocobo Racing,PS,1999,Racing,SquareSoft,"$70,000","$50,000","$300,000","$30,000","$440,000"
761,Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,$0,$0,"$1,140,000","$80,000","$1,220,000"
762,Chocobo's Dungeon 2,PS,1998,Role-Playing,SquareSoft,"$40,000","$30,000","$580,000","$50,000","$700,000"
763,Choro Q Marine: Q Boat,PS,1998,Racing,Takara,$0,$0,"$50,000",$0,"$60,000"
764,Choro Q2,PS,1997,Racing,Takara,$0,$0,"$230,000","$20,000","$250,000"
765,Choro Q3,PS,1998,Racing,Takara,$0,$0,"$240,000","$20,000","$260,000"
766,Chronicles of the Sword,PS,1996,Adventure,Psygnosis,"$30,000","$20,000",$0,$0,"$50,000"
767,Chrono Cross,PS,1999,Role-Playing,SquareSoft,"$620,000","$420,000","$690,000","$120,000","$1,860,000"
768,Circuit Breakers,PS,1998,Racing,Mindscape,"$40,000","$30,000",$0,$0,"$70,000"
769,Civilization II,PS,1998,Strategy,Activision,"$150,000","$110,000",$0,"$20,000","$280,000"
770,Classic Road,PS,1995,Sports,Victor Interactive,$0,$0,"$70,000",$0,"$70,000"
771,Clock Tower,PS,1996,Adventure,ASCII Entertainment,"$70,000","$50,000","$380,000","$30,000","$530,000"
772,Clock Tower II: The Struggle Within,PS,1998,Adventure,Human Entertainment,"$20,000","$10,000","$120,000","$10,000","$170,000"
773,Clock Tower: The First Fear,PS,1997,Adventure,Human Entertainment,$0,$0,"$120,000","$10,000","$120,000"
774,Codename Tenka,PS,1997,Shooter,Psygnosis,"$50,000","$30,000",$0,"$10,000","$90,000"
775,Colin McRae Rally,PS,1998,Racing,Codemasters,"$90,000","$2,430,000","$120,000","$220,000","$2,870,000"
776,Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,"$20,000","$800,000","$20,000","$70,000","$910,000"
777,College Slam,PS,1995,Sports,Acclaim Entertainment,"$100,000","$70,000",$0,"$10,000","$190,000"
778,Colony Wars,PS,1997,Simulation,Psygnosis,"$240,000","$160,000",$0,"$30,000","$420,000"
779,Colony Wars III: Red Sun,PS,2000,Simulation,Psygnosis,"$70,000","$50,000",$0,"$10,000","$120,000"
780,Colony Wars: Vengeance,PS,1998,Simulation,Psygnosis,"$130,000","$90,000",$0,"$20,000","$230,000"
781,Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,PS,1998,Sports,Axela,$0,$0,"$240,000","$20,000","$250,000"
782,Command & Conquer,PS,1996,Strategy,Virgin Interactive,"$220,000","$150,000",$0,"$30,000","$400,000"
783,Command & Conquer: Red Alert,PS,1997,Strategy,Virgin Interactive,"$230,000","$160,000",$0,"$30,000","$410,000"
784,Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,Virgin Interactive,"$390,000","$270,000",$0,"$50,000","$700,000"
785,Contender 2,PS,2000,Fighting,3DO,"$310,000","$210,000",$0,"$40,000","$550,000"
786,Contra: Legacy of War,PS,1996,Shooter,Konami Digital Entertainment,"$370,000","$250,000",$0,"$40,000","$670,000"
787,Cool Boarders,PS,1996,Sports,Sony Computer Entertainment,"$100,000","$70,000","$240,000","$30,000","$430,000"
788,Cool Boarders 2,PS,1997,Sports,UEP Systems,"$1,520,000","$460,000","$200,000","$80,000","$2,250,000"
789,Cool Boarders 2001,PS,2000,Sports,Sony Computer Entertainment,"$230,000","$160,000",$0,"$30,000","$410,000"
790,Cool Boarders 3,PS,1998,Sports,989 Studios,"$1,650,000","$460,000","$100,000","$100,000","$2,310,000"
791,Cool Boarders 4,PS,1998,Sports,989 Studios,"$650,000","$440,000",$0,"$80,000","$1,170,000"
792,Countdown Vampires,PS,1999,Adventure,Namco Bandai Games,"$20,000","$10,000",$0,$0,"$40,000"
793,Courier Crisis,PS,1997,Racing,BMG Interactive Entertainment,"$90,000","$60,000",$0,"$10,000","$150,000"
794,Covert Ops: Nuclear Dawn,PS,2000,Action,Sony Computer Entertainment,"$130,000","$90,000",$0,"$20,000","$240,000"
795,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,"$3,230,000","$2,350,000","$940,000","$300,000","$6,820,000"
796,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,"$3,780,000","$2,170,000","$1,310,000","$310,000","$7,580,000"
797,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,"$3,680,000","$1,750,000","$1,420,000","$280,000","$7,130,000"
798,Crash Bash,PS,2000,Misc,Sony Computer Entertainment,"$1,560,000","$1,470,000","$190,000","$170,000","$3,390,000"
799,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,"$2,570,000","$1,570,000","$440,000","$210,000","$4,790,000"
800,Crime Crackers,PS,1994,Role-Playing,Sony Computer Entertainment,$0,$0,"$90,000","$10,000","$100,000"
801,Crime Killer,PS,1998,Racing,Interplay,"$70,000","$40,000",$0,"$10,000","$120,000"
802,Critical Depth,PS,1997,Action,GT Interactive,"$130,000","$90,000",$0,"$10,000","$230,000"
803,Criticom,PS,1996,Fighting,Vic Tokai,"$70,000","$50,000",$0,"$10,000","$120,000"
804,Croc 2,PS,1999,Platform,Fox Interactive,"$410,000","$280,000",$0,"$50,000","$730,000"
805,Croc: Legend of the Gobbos,PS,1997,Platform,Fox Interactive,"$1,570,000","$1,790,000",$0,"$200,000","$3,560,000"
806,Crossroad Crisis,PS,2000,Puzzle,Success,"$10,000",$0,$0,$0,"$10,000"
807,Crusader: No Remorse,PS,1996,Adventure,Electronic Arts,"$30,000","$20,000",$0,$0,"$50,000"
808,Crusaders of Might and Magic,PS,1999,Role-Playing,3DO,"$140,000","$100,000",$0,"$20,000","$250,000"
809,Crypt Killer,PS,1997,Shooter,Konami Digital Entertainment,"$20,000","$10,000",$0,$0,"$40,000"
810,Cyber Sled,PS,1995,Action,Sony Computer Entertainment,$0,$0,"$130,000","$10,000","$140,000"
811,CyberTiger,PS,1998,Sports,Electronic Arts,"$330,000","$220,000",$0,"$40,000","$590,000"
812,Cyberia,PS,1995,Action,Interplay,"$50,000","$30,000",$0,"$10,000","$90,000"
813,D,PS,1995,Adventure,Acclaim Entertainment,$0,$0,"$100,000","$10,000","$110,000"
814,DX Game of Life,PS,1996,Misc,Takara,$0,$0,"$270,000","$20,000","$290,000"
815,DX Game of Life 2,PS,1997,Misc,Takara,$0,$0,"$310,000","$20,000","$330,000"
816,Dai-4-Ji Super Robot Taisen S,PS,1996,Strategy,Banpresto,$0,$0,"$480,000","$30,000","$510,000"
817,Dance Dance Revolution (Japan),PS,1999,Simulation,Konami Digital Entertainment,$0,$0,"$1,260,000","$90,000","$1,350,000"
818,Dance Dance Revolution (North America),PS,2001,Simulation,Konami Digital Entertainment,"$80,000","$60,000",$0,"$10,000","$150,000"
819,Dance Dance Revolution 2nd ReMIX,PS,1999,Simulation,Konami Digital Entertainment,$0,$0,"$900,000","$60,000","$960,000"
820,Dance Dance Revolution 3rdMix,PS,2000,Simulation,Konami Digital Entertainment,$0,$0,"$330,000","$20,000","$360,000"
821,Dance Dance Revolution Disney Mix,PS,2000,Simulation,Konami Digital Entertainment,"$20,000","$20,000",$0,$0,"$40,000"
822,Dance Dance Revolution Extra Mix,PS,2001,Simulation,Konami Digital Entertainment,$0,$0,"$20,000",$0,"$20,000"
823,Dancing Blade II: Tears of Eden,PS,1999,Adventure,Konami Digital Entertainment,$0,$0,"$30,000",$0,"$30,000"
824,Darklight Conflict,PS,1997,Simulation,Electronic Arts,"$20,000","$10,000",$0,$0,"$40,000"
825,Darkstalkers 3,PS,1998,Fighting,Capcom,"$110,000","$70,000",$0,"$10,000","$190,000"
826,Darkstone,PS,2001,Role-Playing,Electronic Arts,"$370,000","$250,000",$0,"$40,000","$660,000"
827,Dave Mirra Freestyle BMX,PS,2000,Sports,Acclaim Entertainment,"$910,000","$110,000",$0,"$30,000","$1,050,000"
828,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,"$150,000","$100,000",$0,"$20,000","$270,000"
829,Dead Ball Zone,PS,1998,Sports,GT Interactive,"$20,000","$20,000",$0,$0,"$40,000"
830,Dead in the Water,PS,1999,Action,ASC Games,"$30,000","$20,000",$0,$0,"$50,000"
831,Dead or Alive,PS,1998,Fighting,Sony Computer Entertainment,"$90,000","$60,000","$100,000","$20,000","$280,000"
832,Deathtrap Dungeon,PS,1998,Action,Eidos Interactive,"$190,000","$130,000",$0,"$20,000","$330,000"
833,Deception III: Dark Delusion,PS,1999,Role-Playing,Tecmo Koei,"$20,000","$10,000",$0,$0,"$40,000"
834,DefCon 5,PS,1995,Shooter,Psygnosis,"$40,000","$30,000",$0,$0,"$70,000"
835,Demolition Racer,PS,1998,Racing,Infogrames,"$170,000","$120,000",$0,"$20,000","$310,000"
836,Densha De Go!,PS,1997,Simulation,Taito,$0,$0,"$1,020,000","$70,000","$1,090,000"
837,Densha De Go! 2,PS,1999,Simulation,Taito,$0,$0,"$380,000","$30,000","$410,000"
838,Derby Stallion,PS,1997,Sports,ASCII Entertainment,$0,$0,"$1,960,000","$140,000","$2,090,000"
839,Derby Stallion 99,PS,1999,Sports,ASCII Entertainment,$0,$0,"$1,060,000","$70,000","$1,130,000"
840,Descent,PS,1996,Shooter,Interplay,"$110,000","$70,000",$0,"$10,000","$190,000"
841,Descent Maximum,PS,1997,Shooter,Interplay Productions,"$50,000","$40,000",$0,"$10,000","$100,000"
