PS1 Game Title,PS1 Game Price
NFL Gameday,6.91
NFL Gameday 2000,1.97
NFL Gameday 2001,1.49
NFL Gameday 2002,3.19
NFL Gameday 2003,8.35
NFL Gameday 2004,1.48
NFL Gameday 97,5.04
NFL Gameday 97 [Greatest Hits],7.94
NFL Gameday 98,2.38
NFL Gameday 99,2.26
NFL Gameday [Greatest Hits],6.82
NFL Gameday [Longbox],10.40
NFL Quarterback Club 97,2.86
NFL Xtreme,3.65
NFL Xtreme 2,6.77
NHL 2000,4.87
NHL 2001,6.14
NHL 97,5.41
NHL 98,2.10
NHL 98 [Greatest Hits],12.17
NHL 99,5.81
NHL Blades of Steel 2000,13.09
NHL Breakaway 98,7.33
NHL Faceoff,5.72
NHL Faceoff 2000,1.83
NHL Faceoff 2001,8.55
NHL Faceoff 97,2.99
NHL Faceoff 97 [Greatest Hits],5.83
NHL Faceoff 98,1.76
NHL Faceoff 99,4.21
NHL Faceoff [Greatest Hits],17.71
NHL Faceoff [Longbox],8.51
NHL Open Ice,47.52
NHL Powerplay 96,5.35
NHL Powerplay 98,7.64
NHL Rock the Rink,7.97
Nagano Winter Olympics 98,5.56
Namco Museum Vol.1,11.44
Namco Museum Vol.1 [Greatest Hits],4.02
Namco Museum Vol.2,36.52
Namco Museum Vol.3,3.19
Namco Museum Vol.3 [Greatest HIts],6.97
Namco Museum Vol.4,67.66
Namco Museum Vol.5,151.64
Namco NeGcon Controller [NPC-101],20.45
Nanotek Warrior,47.59
Nectaris: Military Madness,24.57
Need for Speed II,14.92
Need for Speed II [Greatest Hits],17.87
Need for Speed III: Hot Pursuit,3.98
Need for Speed III: Hot Pursuit [Greatest Hits],4.73
Need for Speed: High Stakes,8.38
Need for Speed: High Stakes [Greatest Hits],10.77
Need for Speed: Porsche Unleashed,14.83
Need for Speed: Road & Track Presents,10.76
Need for Speed: Road & Track Presents [Greatest Hits],12.60
Need for Speed: Road & Track Presents [Longbox],21.52
Need for Speed: V-Rally,7.10
Need for Speed: V-Rally 2,7.48
Newman-Haas Racing,9.01
Next Tetris,3.08
Nicktoons Racing,22.33
Nightmare Creatures,29.19
Nightmare Creatures II,36.81
Ninja: Shadow of Darkness,16.89
No Fear Downhill Mountain Bike Racing,15.12
Norse by Norsewest: Return of the Lost Vikings,22.35
Novastorm,22.85
Nuclear Strike,2.94
Nuclear Strike [Greatest Hits],6.25
O.D.T.: Escape... Or Die Trying,10.96
Oddworld: Abes Exoddus,14.86
Oddworld: Abes Oddysee,14.42
Oddworld: Abes Oddysee [Greatest Hits],17.96
Off-World Interceptor Extreme,18.19
Off-World Interceptor Extreme [Longbox],14.33
Ogre Battle: The March of the Black Queen,83.95
Olympic Soccer,11.22
Olympic Summer Games,4.96
Omega Boost,27.53
One,9.13
One Piece: Mansion,11.25
Overblood,31.20
PGA Tour 96,37.63
PGA Tour 96 [Longbox],8.64
PGA Tour 97,3.66
PGA Tour 98,4.11
PO'ed,58.85
PO'ed [Longbox],47.87
Pac-Man World,12.28
Pac-Man World [Greatest Hits],14.80
Pajama Sam: You Are What You Eat from Your Head to Your Feet,18.79
Pandemonium!,18.58
Pandemonium! 2,39.67
Panzer Front,22.32
Panzer General,25.76
Panzer General [Longbox],17.99
Parappa the Rapper,51.05
Parasite Eve,42.25
Parasite Eve II,60.25
Parasite Eve [Greatest Hits],35.96
Patriotic Pinball,7.47
Peak Performance,27.60
Perfect Weapon,4.72
Persona 2: Eternal Punishment,276.22
Peter Pan: Return to Neverland,11.09
Philosoma,81.50
Philosoma (First Run),0.00
Phix: The Adventure,10.84
Pink Panther: Pinkadelic Pursuit,113.66
Pinobee,13.91
Pipe Dreams 3D,4.72
Pitball,13.71
Pitfall 3D: Beyond the Jungle,10.05
Planet of the Apes,11.38
Play with the Teletubbies,8.42
PlayStation (PS One) & LCD Combo,0.00
PlayStation (PS one),80.86
PlayStation (PS one) LCD Screen,0.00
PlayStation Classic,0.00
PlayStation [SCPH-1001],36.94
Pocket Fighter,36.13
Point Blank,41.90
Point Blank 2,36.42
Point Blank 2 [Guncon Bundle],40.84
Point Blank 3,55.88
Point Blank 3 [Guncon Bundle],61.79
Point Blank [Guncon Bundle],78.98
Polaris Snocross,4.52
Pong: The Next Level,8.01
Pooh's Party Game: In Search of the Treasure,4.05
Pool Hustler,3.22
Populous: The Beginning,11.40
Porsche Challenge,12.27
Power Move Pro Wrestling,2.90
Power Play: Sports Trivia,6.33
Power Rangers Zeo: Full Tilt Battle Pinball,17.55
Power Rangers: Lightspeed Rescue,11.89
Power Rangers: Time Force,8.80
Power Serve 3D Tennis,16.48
Power Shovel,38.51
Power Spike Pro Beach Volleyball,2.36
Powerboat Racing,3.57
Powerpuff Girls: Chemical X-Traction,9.22
Powerslave,82.06
Poy Poy,54.78
Primal Rage,51.72
Pro 18: World Tour Golf,8.43
Pro Pinball,8.29
Pro Pinball: Big Race USA,4.38
Pro Pinball: Fantastic Journey,6.14
Pro Pinball: Timeshock!,13.81
Project Overkill,13.25
Project: Horned Owl,45.75
Psybadek,6.81
Psychic Detective,153.40
Psychic Force,77.08
Punky Skunk,61.15
Putter Golf,7.12
Puzzle Star Sweep,10.97
Puzznic,8.82
Q-Bert,8.10
Qix Neo,16.61
Quake II,12.89
R-Type Delta,209.54
R-Types,43.49
R/C Stunt Copter,8.20
RC Helicopter,2.33
RC Revenge,6.56
RC de Go!,14.49
RPG Maker,14.07
Racing,3.92
Rage Racer,16.84
Rageball,4.94
Raiden DX,0.00
Raiden Project,52.13
Railroad Tycoon II,9.39
Rally Cross,6.68
Rally Cross 2,6.87
Rampage 2: Universal Tour,18.34
Rampage Through Time,31.10
Rampage World Tour,20.39
Rascal,5.44
Rascal Racers,47.14
Rat Attack!,9.05
Ray Tracers,24.32
Raycrisis: Series Termination,161.53
Rayman,47.50
Rayman 2: The Great Escape,8.85
Rayman Brain Games,7.08
Rayman Rush,11.03
Rayman [Greatest Hits],7.22
Rayman [Longbox],43.27
Raystorm,129.77
Razor Freestyle Scooter,5.49
Razor Racing,6.67
Re-Volt: Racing out of Control,6.99
Ready 2 Rumble Boxing,6.47
Ready 2 Rumble Boxing [Greatest Hits],9.99
Ready 2 Rumble Boxing: Round 2,7.41
Reboot,20.48
Red Asphalt,10.84
Reel Fishing,7.60
Reel Fishing II,13.32
Reel Fishing [Greatest Hits],6.75
Reloaded,25.69
Renegade Racers,8.88
Rescue Copter,6.63
Rescue Heroes: Molten Menace,3.71
Resident Evil,77.38
Resident Evil 2,34.75
Resident Evil 2 [Dual Shock Edition],24.51
Resident Evil 2 [Greatest Hits],23.92
Resident Evil 3: Nemesis,40.18
Resident Evil 3: Nemesis [Greatest Hits],48.60
Resident Evil [Longbox],110.83
Resident Evil: Directors Cut,67.77
Resident Evil: Directors Cut [Greatest Hits],22.31
Resident Evil: Survivor,39.20
Return Fire,41.23
Revelations Series: Persona,225.01
Revolution X,20.85
Rhapsody: A Musical Adventure,83.12
Ridge Racer Revolution,15.62
Ridge Racer Type 4,26.07
Ridge Racer [Greatest Hits],11.43
Ridge Racer [Jewel Case],151.40
Ridge Racer [Longbox],22.82
Rise 2: Resurrection,18.83
Rising Zan: Samurai Gunman,66.41
Risk,10.31
Rival Schools: United by Fate,121.35
Riven: The Sequel to Myst,11.59
Road Rash,14.26
Road Rash 3D,15.24
Road Rash 3D [Greatest Hits],9.44
Road Rash [Greatest Hits],18.28
Road Rash [Longbox],30.69
Road Rash: Jailbreak,6.52
Roadsters,16.65
Robo Pit,19.34
Robo-Pit 2,10.27
Robotron X,15.16
Rock 'Em Sock 'Em Robots Arena,9.26
Rocket Power: Team Rocket Rescue,1.65
Rocket Power: Team Rocket Rescue [Greatest Hits],9.40
Rogue Trip: Vacation 2012,15.95
Roll Away,19.37
Rollcage,10.29
Rollcage: Stage II,8.13
Romance of the Three Kingdoms IV: Wall of Fire,15.63
Romance of the Three Kingdoms IV: Wall of Fire [Longbox],16.77
Romance of the Three Kingdoms VI: Awakening of the Dragon,30.91
Rosco McQueen Firefighter Extreme,9.45
"Roswell Conspiracies: Aliens, Myths & Legends",8.38
Rugrats in Paris: The Movie,9.02
Rugrats: Search for Reptar,12.41
Rugrats: Search for Reptar [Greatest Hits],16.76
Rugrats: Studio Tour,8.86
Rugrats: Totally Angelica,18.61
Runabout 2,39.67
Running Wild,13.10
Rush Hour,19.95
Rushdown,4.16
S.C.A.R.S.,9.66
SaGa Frontier,49.17
SaGa Frontier II,54.86
Sabrina the Teenage Witch: A Twitch in Time,7.73
Saiyuki: Journey West,44.33
Saltwater Sportfishing,7.55
Sammy Sosa High Heat Baseball 2001,6.00
Sammy Sosa Softball Slam,5.90
Sampler Pack Volume Three,7.27
Samurai Shodown III,21.95
Samurai Shodown: Warriors Rage,90.88
San Francisco Rush: Extreme Racing,3.82
Scooby-Doo & The Cyber Chase,11.75
Scooby-Doo & The Cyber Chase [Greatest Hits],10.40
Scrabble,6.80
Sea Doo Hydrocross,6.39
Sentient,24.28
Sentinel Returns,10.57
Sesame Street Sports,3.93
Sesame Street: Elmo's Letter Adventure,5.49
Sesame Street: Elmo's Number Journey,8.15
Shadow Madness,12.31
Shadow Man,12.50
Shadow Master,10.86
Shadow Tower,115.97
Shanghai: True Valor,8.71
Sheep,10.46
Shellshock,8.54
Shellshock [Longbox],17.58
Shipwreckers!,13.50
Shockwave Assault,18.84
Shrek Treasure Hunt,4.62
Silent Bomber,167.86
Silent Hill,126.14
Silent Hill [Greatest Hits],99.57
Silhouette Mirage,70.34
Silverload,79.08
Sim Theme Park,9.86
SimCity 2000,2.93
SimCity 2000 [Greatest Hits],6.75
The Simpsons Wrestling,9.61
Skeleton Warriors,16.96
Skeleton Warriors [Longbox],29.87
Skullmonkeys,85.79
Skydiving Extreme,3.33
Slam n' Jam 96,14.44
Slam n' Jam 96 [Longbox],10.77
Slamscape,9.19
Sled Storm,5.61
Sled Storm [Greatest Hits],10.63
Slots,7.47
Small Soldiers,12.86
Smurf Racer,5.87
Smurfs,15.23
Sno Cross Championship Racing,10.25
Snowboarding,3.31
Sol Divide,23.55
Sorcerer's Maze,6.58
Soul Blade,18.75
Soul Blade [Greatest Hits],15.44
Soul of the Samurai,26.18
South Park,19.74
South Park Rally,14.13
South Park: Chef's Luv Shack,12.88
Soviet Strike,5.26
Soviet Strike [Greatest Hits],9.47
Space Griffon VF-9,46.45
Space Hulk: Vengeance of the Blood Angels,21.48
Space Invaders,8.71
Space Jam,16.05
Space Shot,13.62
Spawn: The Eternal,20.43
Spec Ops: Airborne Commando,5.06
Spec Ops: Covert Assault,4.36
Spec Ops: Ranger Elite,2.00
Spec Ops: Stealth Patrol,3.12
Speed Punks,17.00
Speed Racer,20.70
Speedball 2100,4.41
Spice World,7.22
Spider-Man,19.20
Spider-Man 2: Enter Electro,33.08
Spider-Man 2: Enter Electro [Greatest Hits],26.68
Spider-Man [Greatest Hits],21.36
Spider: The Video Game,33.75
Spin Jam,2.44
Spongebob Squarepants: Supersponge,7.07
Spongebob Squarepants: Supersponge [Greatest Hits],1.28
Sports Car GT,4.83
Sports Superbike 2,3.84
Spot Goes to Hollywood,17.26
Spyro the Dragon,23.93
Spyro the Dragon 2: Ripto's Rage,7.55
Spyro the Dragon 2: Ripto's Rage [Collectors Edition],22.16
Spyro the Dragon 2: Ripto's Rage [Greatest Hits],15.16
Spyro the Dragon [Collectors Edition],16.47
Spyro the Dragon [Greatest Hits],7.74
Spyro: Collectors Edition,15.92
Spyro: Year of the Dragon,19.11
Spyro: Year of the Dragon [Collectors Edition],16.01
Spyro: Year of the Dragon [Greatest Hits],14.32
Star Fighter,10.44
Star Gladiator: Episode 1: Final Crusade,34.95
Star Ocean: The Second Story,50.60
Star Sweep,10.02
Star Trek: Invasion,14.94
Star Wars: Dark Forces,18.62
Star Wars: Dark Forces [Greatest Hits],13.86
Star Wars: Demolition,11.09
Star Wars: Episode I: Jedi Power Battles,9.23
Star Wars: Episode I: Jedi Power Battles [Greatest Hits],7.79
Star Wars: Episode I: The Phantom Menace,6.44
Star Wars: Episode I: The Phantom Menace [Greatest Hits],7.50
Star Wars: Masters of Teras Kasi,15.58
Star Wars: Rebel Assault II,2.86
Star Wars: Rebel Assault II [Greatest Hits],8.96
Starblade Alpha,111.12
Starfighter Sanvein,3.46
Starwinder: The Ultimate Space Race,6.95
Steel Harbinger,43.25
Steel Reign,7.87
Streak: Hoverboard Racing,5.51
Street Fighter Alpha 2,21.94
Street Fighter Alpha 3,18.33
Street Fighter Alpha 3 [Greatest Hits],24.54
Street Fighter Alpha: Warriors' Dreams,99.13
Street Fighter Alpha: Warriors' Dreams [Longbox],30.41
Street Fighter Collection,52.01
Street Fighter Collection 2,54.50
Street Fighter EX Plus Alpha,45.67
Street Fighter EX2 Plus,86.30
Street Fighter: The Movie,63.40
Street Racer,12.29
Street Racquetball,4.54
Street Sk8er,9.54
Street Sk8er 2,11.78
Strider 2,94.50
Strike Point,7.62
Striker 96,19.68
Striker Pro 2000,6.41
Strikers 1945,28.74
Strikers 1945 2 II,0.00
Stuart Little 2,4.26
Stuart Little 2 [Greatest Hits],2.54
Suikoden,65.00
Suikoden II,345.25
Super Bubble Pop,7.66
Super Puzzle Fighter II Turbo,36.32
Super Shot Soccer,18.34
SuperCross,6.78
SuperCross 2000,2.61
SuperCross Circuit,8.26
Superbike 2000,5.44
Superstar Dance Club,4.62
Surf Riders,3.87
Swagman,22.01
Sydney 2000,1.75
Syndicate Wars,28.10
Syphon Filter,10.18
Syphon Filter 2,7.40
Syphon Filter 2 [Greatest Hits],7.26
Syphon Filter 3,16.98
Syphon Filter 3 [911 Edition],386.00
Syphon Filter 3 [Greatest Hits],6.17
Syphon Filter [Greatest Hits],3.64
T.R.A.G.: Tactical Rescue Assault Group: Mission of Mercy,42.07
TNN Motorsports Hardcore 4x4,6.03
TNN Motorsports Hardcore 4x4 [Greatest Hits],5.00
TNN Motorsports Hardcore TR,10.11
Tactics Ogre,104.07
Tai Fu: Wrath of the Tiger,19.32
Tail Concerto,305.76
Tail of the Sun,49.16
Tales of Destiny,175.84
Tales of Destiny II,241.20
Tall Infinity: The Tower of Wisdom,7.00
Tarzan,8.93
Tarzan [Greatest Hits],10.31
Team Buddies,131.32
Team Losi RC Racer,7.94
Tecmo Stackers,9.83
Tecmo Super Bowl,26.71
Tecmo World Golf,22.32
Tecmo World Golf [Longbox],38.57
Tecmo's Deception: Invitation to Darkness,42.54
Tekken,74.78
Tekken 2,8.47
Tekken 2 [Greatest Hits],11.38
Tekken 3,16.44
Tekken 3 [Greatest Hits],10.48
Tekken [Greatest Hits],16.48
Tekken [Longbox],40.54
Tempest X3,15.05
Ten Pin Alley,1.86
Ten Pin Alley [Greatest Hits],7.33
Tenchu 2: Birth of the Stealth Assassins,23.16
Tenchu 2: Birth of the Stealth Assassins [Greatest Hits],27.07
Tenchu: Stealth Assassins,13.16
Tenchu: Stealth Assassins [Greatest Hits],14.89
Tennis,4.17
Tennis Arena,8.60
Test Drive 4,3.15
Test Drive 4 [Greatest Hits],2.58
Test Drive 5,7.41
Test Drive 5 [Greatest Hits],3.12
Test Drive 6,8.07
Test Drive Le Mans,4.21
Test Drive Off-Road,2.86
Test Drive Off-Road 2,4.78
Test Drive Off-Road 3,10.30
Test Drive Off-Road [Greatest Hits],8.89
Tetris Plus,12.33
Tetris Plus [Greatest Hits],3.01
Theme Hospital,17.05
Theme Park,9.39
Theme Park [Longbox],33.24
Thousand Arms,105.92
Thrasher: Skate & Destroy,21.33
Threads of Fate,42.23
Three Stooges,21.74
Thunder Force V: Perfect System,92.04
Thunder Truck Rally,7.83
Thunderstrike 2,7.50
Thunderstrike 2 [Longbox],13.03
Tiger Woods PGA Tour 2000,4.07
Tiger Woods PGA Tour Golf,6.08
Tiger Woods PGA Tour Golf 99,5.12
Tigershark,8.00
Tigger's Honey Hunt,8.21
Time Commando,9.64
Time Crisis,17.18
Time Crisis [Guncon Bundle],43.99
Time Crisis: Project Titan,43.76
Time Crisis: Project Titan [Gun Bundle],78.19
Tiny Tank,13.76
Tiny Toon Adventures: Plucky's Big Adventure,5.79
Tiny Toon Adventures: The Great Beanstalk,5.86
Tiny Toon Adventures: Toonenstein: Dare to Scare,9.85
Tobal No.1,26.03
Toca Championship Racing,9.49
Toca: Touring Car Challenge 2,10.83
Tokyo Highway Battle,14.97
Tom & Jerry: House Trap,10.54
Tom Clancy's Rainbow Six,3.01
Tom Clancy's Rainbow Six [Greatest Hits],6.52
Tom Clancy's Rainbow Six: Lone Wolf,6.67
Tom Clancy's Rainbow Six: Rogue Spear,6.59
Tomb Raider,23.02
Tomb Raider Chronicles,20.25
Tomb Raider II,11.29
Tomb Raider II [Greatest Hits],1.77
Tomb Raider III: Adventures of Lara Croft,2.83
Tomb Raider III: Adventures of Lara Croft [Greatest Hits],6.48
Tomb Raider [Collectors' Edition],33.07
Tomb Raider [Greatest Hits],8.12
Tomb Raider: The Last Revelation,3.82
Tomb Raider: The Last Revelation [Greatest Hits],6.73
Tomba!,119.45
Tomba! 2: The Evil Swine Return,108.44
Tonka Space Station,5.67
Tony Hawk's Pro Skater,7.53
Tony Hawk's Pro Skater 2,10.15
Tony Hawk's Pro Skater 2 [Greatest Hits],19.27
Tony Hawk's Pro Skater 3,9.65
Tony Hawk's Pro Skater 3 [Greatest Hits],13.01
Tony Hawk's Pro Skater 4,10.26
Tony Hawk's Pro Skater 4 [Greatest Hits],10.31
Tony Hawk's Pro Skater [Greatest Hits],8.39
Top Gun: Fire at Will,6.94
Top Gun: Fire at Will [Longbox],15.54
Top Shop,16.77
Torneko: The Last Hope,80.46
Total Eclipse Turbo,9.51
Total Eclipse Turbo [Longbox],15.20
Toy Story 2: Buzz Lightyear to the Rescue,12.06
Toy Story 2: Buzz Lightyear to the Rescue [Collectors Edition],20.30
Toy Story 2: Buzz Lightyear to the Rescue [Greatest Hits],0.00
Toy Story Racer,36.66
Transformers: Beast Wars: Transmetals,18.33
Trap Gunner,40.12
Treasure Planet,10.33
Treasures of the Deep,18.22
Trick'n Snowboarder,19.93
Triple Play 2000,5.34
Triple Play 2001,3.00
Triple Play 2001 [Greatest Hits],9.82
Triple Play 97,2.60
Triple Play 97 [Longbox],17.26
Triple Play 98,2.29
Triple Play 98 [Greatest Hits],8.21
Triple Play 99,4.00
Triple Play Baseball,7.10
True Pinball,16.86
Tunnel B1,9.99
Turbo Prop Racing,6.78
Turnabout,9.79
Twisted Metal,75.99
Twisted Metal 2,15.09
Twisted Metal 2 [Greatest Hits],29.19
Twisted Metal 4,12.89
Twisted Metal 4 [Greatest Hits],25.81
Twisted Metal III,14.56
Twisted Metal III [Greatest Hits],16.81
Twisted Metal [Greatest Hits],10.56
Twisted Metal [Longbox],51.47
Twisted Metal: Small Brawl,24.29
Tyco RC: Assault with a Battery,6.22
Ultimate 8 Ball,3.09
Ultimate Brain Games,11.23
Ultimate Fighting Championship,8.01
Um Jammer Lammy,33.68
Unholy War,22.43
Uprising X,8.04
Urban Chaos,13.72
V-Tennis,12.17
VIP,8.39
VMX Racing,5.34
VR Baseball 97,3.98
VR Baseball 99,2.50
VR Golf '97,3.81
VR Soccer 96,12.95
Vagrant Story,52.89
Vagrant Story [Greatest Hits],50.64
Valkyrie Profile,248.59
Vampire Hunter D,44.77
Vanark,167.99
Vandal Hearts,48.36
Vandal Hearts II,55.25
Vanguard Bandits,165.81
Vanishing Point,11.05
Vegas Games 2000,5.87
Viewpoint,46.28
Vigilante 8,9.89
Vigilante 8 [Greatest Hits],15.12
Vigilante 8: 2nd Offense,27.38
Vigilante 8: 2nd Offense [Greatest Hits],24.51
Virtual Kasparov,9.72
Virtual Pool,4.13
Virtual Pool 3,13.76
Viva Soccer,19.94
Vs.,37.06
WCW Backstage Assault,8.74
WCW Mayhem,3.77
WCW Nitro,4.01
WCW Nitro [Greatest Hits],9.33
WCW vs. The World,2.55
WCW vs. The World [Greatest Hits],8.57
WCW/NWO Thunder,8.43
WWF Attitude,4.00
WWF In Your House,18.47
WWF Smackdown!,14.71
WWF Smackdown! 2: Know Your Role,8.20
WWF Smackdown! 2: Know Your Role [Greatest Hits],12.65
WWF Smackdown! [Greatest Hits],9.73
WWF Warzone,11.72
WWF Warzone [Greatest Hits],6.89
WWF Wrestlemania: The Arcade Game [Greatest Hits],27.91
WWF Wrestlemania: The Arcade Game [Longbox],40.94
Walt Disney World Quest: Magical Racing Tour,20.05
Walt Disney World Quest: Magical Racing Tour [Collectors Edition],13.65
War Games: Defcon 1,9.16
War Gods,39.60
WarJetz,7.41
Warcraft II: The Dark Saga,25.98
Warhammer: Dark Omen,19.47
Warhammer: Shadow of the Horned Rat,12.33
Warhawk,12.62
Warhawk [Greatest Hits],9.75
Warhawk [Longbox],17.70
Warpath: Jurassic Park,41.23
Warriors of Might and Magic,8.56
Warzone 2100,17.81
Wayne Gretzky's 3D Hockey 98,16.10
Weakest Link,7.82
Wheel of Fortune,3.04
Wheel of Fortune [Greatest Hits],4.49
Wheel of Fortune: 2nd Edition,8.24
Who Wants to be a Millionaire: 2nd Edition,2.83
Who Wants to be a Millionaire: 2nd Edition [Greatest Hits],6.18
Who Wants to be a Millionaire: 3rd Edition,7.50
Wild 9,15.20
Wild Arms,53.85
Wild Arms 2,35.45
Wild Thornberrys: Animal Adventures,9.91
Wing Commander III: Heart of the Tiger,20.17
Wing Commander III: Heart of the Tiger [Longbox],28.08
Wing Commander IV: The Price of Freedom,15.62
Winnie the Pooh: Kindergarten,3.22
Winnie the Pooh: Preschool,7.95
Wipeout,21.58
Wipeout 3,8.00
Wipeout XL,20.45
Wipeout [Greatest Hits],13.30
Wipeout [Longbox],24.14
Woody Woodpecker Racing,11.94
World Cup 98,12.20
World Cup Golf,4.21
World Cup Golf [Longbox],10.21
World Destruction League: Thunder Tanks,9.96
Worlds Scariest Police Chases,12.88
Worms,22.30
Worms Armageddon,24.25
Worms World Party,12.36
Wreckin Crew,9.70
Wu-Tang: Shaolin Style,41.23
X-Bladez: Inline Skater,3.50
X-Com: UFO Defense,72.85
X-Files,17.37
X-Men vs. Street Fighter,136.21
X-Men: Children of the Atom,123.01
X-Men: Mutant Academy,11.13
X-Men: Mutant Academy 2,20.08
X-Men: Mutant Academy [Greatest Hits],12.27
XS Airboat Racing,8.90
XS Junior League Dodgeball,7.35
XS Junior League Football,5.19
XS Junior League Soccer,9.53
XS Moto,2.73
Xena: Warrior Princess,17.86
Xenogears,80.89
Xenogears [Greatest Hits],63.56
Xevious 3D-G+,41.18
You Don't Know Jack,6.66
You Don't Know Jack: Mock 2,5.24
Yu-Gi-Oh! Forbidden Memories,16.58
Zero Divide,24.64
Zoboomafoo,3.71
Zoop,18.80
